hotel_name,source_url,official_url,hotel_class,minprice,maxprice,address,lat,lon,number_of_room,number_of_floor,year_property_opened,most_recent_renovation
Daisy Apartment 2&3 Bedrooms - Vinhomes Serviced Apartments Luxhome,https://www.tripadvisor.com/Hotel_Review-g293925-d22844409-Reviews-Daisy_Apartment_2_3_Bedrooms_Vinhomes_Serviced_Apartments_Luxhome-Ho_Chi_Minh_City.html,,,,,"208 Nguyễn Hữu Cảnh Vinhomes Central Park, Ho Chi Minh City Vietnam",10.795053,106.7196,,,,
Brand-New Luxury Apartment,https://www.tripadvisor.com/Hotel_Review-g293925-d22844392-Reviews-Brand_New_Luxury_Apartment-Ho_Chi_Minh_City.html,,,,,"Le Van Sy Road, Phuong 14, Quan 3, Ho Chi Minh City Vietnam",10.790117,106.67697,,,,
Nina Home,https://www.tripadvisor.com/Hotel_Review-g293925-d22844387-Reviews-Nina_Home-Ho_Chi_Minh_City.html,,,,,"114/9 Duong De Tham, District 1, Ho Chi Minh City Vietnam",10.76259,106.69653,,,,
Khong Minh Trang,https://www.tripadvisor.com/Hotel_Review-g293925-d12248352-Reviews-Khong_Minh_Trang-Ho_Chi_Minh_City.html,,,,,"237/42/36 Hoang Dieu, Ho Chi Minh City Vietnam",10.7891,106.59685,,,,
Charmaine's Hotel & Apartment,https://www.tripadvisor.com/Hotel_Review-g293925-d20323924-Reviews-Charmaine_s_Hotel_Apartment-Ho_Chi_Minh_City.html,,,,,"26-28 Noi Khu Hung Gia 1 Tan Phong Ward, District 7, Ho Chi Minh City 70000 Vietnam",10.733501,106.70925,,,,
G-Hostel,https://www.tripadvisor.com/Hotel_Review-g293925-d15217933-Reviews-G_Hostel-Ho_Chi_Minh_City.html,,2.0 of 5 stars,,,"105 Pham Ngu Lao District 1, Ho Chi Minh City 700000 Vietnam",10.76972,106.69608,,,,
Phu An Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d26496289-Reviews-Phu_An_Hotel-Ho_Chi_Minh_City.html,,,,,"16 Đ. Lê Đức Thọ, Phường 7, Ho Chi Minh City 70000 Vietnam",10.830948,106.68233,,,,
RedDoorz @ Dong Du Street,https://www.tripadvisor.com/Hotel_Review-g293925-d25379592-Reviews-RedDoorz_Dong_Du_Street-Ho_Chi_Minh_City.html,,,,,"30 Dong Du Ben Thanh Ward, District 1, Ho Chi Minh City 700000 Vietnam",null,null,,,,
OYO 878 Goldenhome,https://www.tripadvisor.com/Hotel_Review-g293925-d20309871-Reviews-OYO_878_Goldenhome-Ho_Chi_Minh_City.html,,,,,"829, Huynh Tan Phat Street, Phu Thuan Ward, District 7, Ho Chi Minh City 700000 Vietnam",10.732514,106.731544,,,,
GoDa Home,https://www.tripadvisor.com/Hotel_Review-g293925-d21393495-Reviews-GoDa_Home-Ho_Chi_Minh_City.html,,,,,"151 Ben Van Don B33.03 River Gate Residence, Ho Chi Minh City Vietnam",10.76277,106.6989,,,,
Min Apartment,https://www.tripadvisor.com/Hotel_Review-g293925-d25055908-Reviews-Min_Apartment-Ho_Chi_Minh_City.html,,3.0 of 5 stars,,,"52/8 Cao Thang Street Ward 5, District 3, Ho Chi Minh City 700000 Vietnam",10.76953,106.6827,,,,
RedDoorz Plus near Tan Son Nhat Airport 3,https://www.tripadvisor.com/Hotel_Review-g293925-d21287178-Reviews-RedDoorz_Plus_near_Tan_Son_Nhat_Airport_3-Ho_Chi_Minh_City.html,,,,,"60/24 Yen The, Ho Chi Minh City Vietnam",10.81275,106.6687,,,,
Mint Coffee And More,https://www.tripadvisor.com/Hotel_Review-g293925-d15334298-Reviews-Mint_Coffee_And_More-Ho_Chi_Minh_City.html,,,,,"B18 Bach Dang P2 Quan Tan Binh, Ho Chi Minh City Vietnam",10.81473,106.66746,,,,
Edoya Hotel Phu My Hung,https://www.tripadvisor.com/Hotel_Review-g293925-d26393238-Reviews-Edoya_Hotel_Phu_My_Hung-Ho_Chi_Minh_City.html,,,,,"36-38 Cao Triều Phát, Tân Phong, Ho Chi Minh City 700000 Vietnam",10.732136,106.70896,,,,
Nha Nghi Sach,https://www.tripadvisor.com/Hotel_Review-g293925-d20001400-Reviews-Nha_Nghi_Sach-Ho_Chi_Minh_City.html,,,,,"215-217 Ten Lua, Ho Chi Minh City 70000 Vietnam",null,null,,,,
Song Giong Hotel,https://www.tripadvisor.com/Hotel_Review-g293925-d12710953-Reviews-Song_Giong_Hotel-Ho_Chi_Minh_City.html,,,,,"14, Street 1, An Phu Ward, District 2, Ho Chi Minh City Vietnam",10.76767,106.69132,,,,
Saigon-Phnom Penh Huongviet,https://www.tripadvisor.com/Hotel_Review-g293925-d6937466-Reviews-Saigon_Phnom_Penh_Huongviet-Ho_Chi_Minh_City.html,,,,,"12 124, Cong Hoa-A St., W4, Tan Binh Dist., Ho Chi Minh City 70000 Vietnam",10.80094,106.66112,,,,
Luxury Homestay,https://www.tripadvisor.com/Hotel_Review-g293925-d21403759-Reviews-Luxury_Homestay-Ho_Chi_Minh_City.html,,,,,"72 Nguyen Oanh, Phuong 17, Go Vap, Ho Chi Minh City Vietnam",10.83623,106.67576,,,,
N U Service Apartment SOHO,https://www.tripadvisor.com/Hotel_Review-g293925-d26547176-Reviews-N_U_Service_Apartment_SOHO-Ho_Chi_Minh_City.html,,,,,"100 Co Giang, Ho Chi Minh City 26755 Vietnam",10.763027,106.69455,,,,
